margin	center_pixels	outer_pixels	center_rows_full_infnorm	outer_rows_full_infnorm	center_block_infnorm	outer_block_infnorm	center_diag_abs_max	outer_diag_abs_max	center_row_sum_median	outer_row_sum_median
0	6000	0	16.43631632562471	NaN	0.8987380445032613	NaN	0.8987380445032613	NaN	3.5859222382012366	NaN
2	5376	624	16.43631632562471	14.33594196886916	0.8987380445032613	0.896342561885831	0.8987380445032613	0.896342561885831	2.310266862018244	9.435793908577086
5	4500	1500	16.43631632562471	14.630684598987305	0.8952032051238348	0.8987380445032613	0.8952032051238348	0.8987380445032613	1.1424975063149732	8.957746872226945
10	3200	2800	16.43631632562471	14.883687603333325	0.8347482804597348	0.8987380445032613	0.8347482804597348	0.8987380445032613	0.3246469429206482	8.734476855274291
15	2100	3900	16.43631632562471	15.90509663385123	0.7072400579490932	0.8987380445032613	0.7072400579490932	0.8987380445032613	0.1965443141736956	8.524179572308558
20	1200	4800	14.449993602896594	16.43631632562471	0.21831170251243748	0.8987380445032613	0.21831170251243748	0.8987380445032613	0.17841893032623582	8.234004841313318
